Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.02     0.00    62484     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, int>, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<int const, int>, false>*)
  0.00      0.02     0.00    62484     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<int const, int>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<int const, int>, false>*)
  0.00      0.02     0.00    59192     0.00     0.00  Hoshen_Kopelman(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, int)::{lambda(int)#1}& std::forward<Hoshen_Kopelman(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, int)::{lambda(int)#1}&>(std::remove_reference<Hoshen_Kopelman(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, int)::{lambda(int)#1}&>::type&)
  0.00      0.02     0.00    57318     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.02     0.00    48982     0.00     0.00  std::__detail::_Hashtable_hash_traits<std::hash<int> >::__small_size_threshold()
  0.00      0.02     0.00    34498     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.02     0.00    32768     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00      0.02     0.00    32768     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      0.02     0.00    32768     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      0.02     0.00    32768     0.00     0.00  std::log(long double)
