0	0	0
0	1	0
0	2	3
0	3	0
0	4	4
0	5	4
0	6	4
0	7	0
0	8	0
0	9	0
0	10	5
0	11	0
0	12	6
0	13	6
0	14	0
0	15	0
0	16	7
0	17	7
0	18	0
0	19	0
1	0	0
1	1	0
1	2	3
1	3	0
1	4	0
1	5	0
1	6	0
1	7	8
1	8	8
1	9	0
1	10	0
1	11	0
1	12	6
1	13	6
1	14	6
1	15	6
1	16	0
1	17	7
1	18	7
1	19	0
2	0	0
2	1	3
2	2	3
2	3	3
2	4	3
2	5	3
2	6	3
2	7	0
2	8	8
2	9	0
2	10	10
2	11	0
2	12	0
2	13	6
2	14	0
2	15	0
2	16	0
2	17	0
2	18	7
2	19	7
3	0	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	3
3	6	3
3	7	0
3	8	8
3	9	0
3	10	0
3	11	17
3	12	0
3	13	6
3	14	0
3	15	0
3	16	12
3	17	0
3	18	0
3	19	7
4	0	0
4	1	0
4	2	13
4	3	0
4	4	14
4	5	0
4	6	0
4	7	15
4	8	0
4	9	17
4	10	0
4	11	17
4	12	17
4	13	0
4	14	17
4	15	0
4	16	0
4	17	28
4	18	0
4	19	7
5	0	0
5	1	28
5	2	0
5	3	21
5	4	0
5	5	21
5	6	21
5	7	0
5	8	0
5	9	17
5	10	17
5	11	0
5	12	17
5	13	17
5	14	17
5	15	0
5	16	28
5	17	28
5	18	0
5	19	7
6	0	28
6	1	28
6	2	0
6	3	21
6	4	21
6	5	21
6	6	0
6	7	17
6	8	17
6	9	17
6	10	0
6	11	17
6	12	17
6	13	0
6	14	17
6	15	0
6	16	0
6	17	28
6	18	0
6	19	7
7	0	28
7	1	28
7	2	28
7	3	0
7	4	0
7	5	0
7	6	0
7	7	17
7	8	0
7	9	17
7	10	17
7	11	17
7	12	17
7	13	17
7	14	17
7	15	17
7	16	0
7	17	28
7	18	28
7	19	0
8	0	28
8	1	28
8	2	0
8	3	0
8	4	0
8	5	0
8	6	26
8	7	0
8	8	0
8	9	17
8	10	0
8	11	17
8	12	17
8	13	0
8	14	17
8	15	0
8	16	28
8	17	28
8	18	0
8	19	28
9	0	28
9	1	28
9	2	28
9	3	28
9	4	28
9	5	28
9	6	0
9	7	0
9	8	0
9	9	0
9	10	29
9	11	0
9	12	0
9	13	0
9	14	17
9	15	0
9	16	28
9	17	0
9	18	0
9	19	28
10	0	0
10	1	28
10	2	28
10	3	0
10	4	28
10	5	28
10	6	28
10	7	28
10	8	0
10	9	30
10	10	0
10	11	28
10	12	28
10	13	28
10	14	0
10	15	28
10	16	28
10	17	0
10	18	28
10	19	28
11	0	34
11	1	0
11	2	0
11	3	0
11	4	28
11	5	28
11	6	0
11	7	28
11	8	28
11	9	0
11	10	28
11	11	28
11	12	0
11	13	28
11	14	0
11	15	28
11	16	0
11	17	28
11	18	28
11	19	0
12	0	34
12	1	0
12	2	0
12	3	37
12	4	0
12	5	28
12	6	28
12	7	28
12	8	28
12	9	0
12	10	0
12	11	0
12	12	28
12	13	28
12	14	28
12	15	28
12	16	28
12	17	28
12	18	0
12	19	0
13	0	34
13	1	34
13	2	0
13	3	0
13	4	28
13	5	28
13	6	28
13	7	28
13	8	28
13	9	28
13	10	0
13	11	28
13	12	0
13	13	28
13	14	28
13	15	0
13	16	28
13	17	28
13	18	28
13	19	28
14	0	0
14	1	0
14	2	0
14	3	28
14	4	28
14	5	0
14	6	0
14	7	28
14	8	28
14	9	28
14	10	28
14	11	28
14	12	28
14	13	0
14	14	0
14	15	0
14	16	0
14	17	28
14	18	28
14	19	28
15	0	0
15	1	42
15	2	0
15	3	28
15	4	0
15	5	0
15	6	43
15	7	0
15	8	0
15	9	28
15	10	0
15	11	28
15	12	28
15	13	28
15	14	28
15	15	28
15	16	28
15	17	0
15	18	0
15	19	28
16	0	44
16	1	0
16	2	45
16	3	0
16	4	0
16	5	43
16	6	43
16	7	0
16	8	47
16	9	0
16	10	0
16	11	28
16	12	28
16	13	0
16	14	0
16	15	28
16	16	28
16	17	28
16	18	28
16	19	28
17	0	0
17	1	48
17	2	0
17	3	49
17	4	49
17	5	0
17	6	0
17	7	50
17	8	0
17	9	0
17	10	0
17	11	28
17	12	28
17	13	28
17	14	0
17	15	0
17	16	0
17	17	0
17	18	28
17	19	28
18	0	0
18	1	48
18	2	0
18	3	49
18	4	0
18	5	51
18	6	0
18	7	0
18	8	0
18	9	52
18	10	0
18	11	0
18	12	0
18	13	0
18	14	53
18	15	0
18	16	0
18	17	54
18	18	0
18	19	0
19	0	0
19	1	48
19	2	0
19	3	49
19	4	49
19	5	0
19	6	0
19	7	55
19	8	0
19	9	52
19	10	0
19	11	56
19	12	0
19	13	53
19	14	53
19	15	53
19	16	0
19	17	0
19	18	0
19	19	58
