# p	Percolation_Prob	Avg_Cluster_Size	Time_ms
0	0	0	63
0.05	0	0	126
0.1	0	0	162
0.15	0	0	222
0.2	0	0	274
0.25	0	0	325
0.3	0	0	415
0.35	0	0	440
0.4	0	0	520
0.45	0	0	621
0.5	0	0	710
0.55	0.04	907.75	834
0.6	0.75	1485.34	1026
0.65	1	2353.05	1183
0.7	1	2789.74	1376
0.75	1	3040.65	1543
0.8	1	3264.31	1724
0.85	1	3481.13	1936
0.9	1	3685.17	2077
0.95	1	3888.55	2157
0.52	0	0	777
0.54	0.03	0	818
0.56	0.12	1005.38	881
0.58	0.46	1270.15	966
0.61	0.97	1778.89	1093
0.62	0.96	1844.03	1100
0.63	0.99	2114.68	1128
0.67	1	2592.28	1301
0.68	1	2659.18	1302
