# p	Percolation_Prob	Avg_Cluster_Size	Std_dev	Time_ms
0	0	0	0	390
0.05	0	0	0	618
0.1	0	0	0	853
0.15	0	0	0	1103
0.2	0	0	0	1214
0.25	0	0	0	1503
0.3	0	0	0	1750
0.35	0	0	0	2050
0.4	0	0	0	2419
0.45	0	0	0	2872
0.5	0	0	0	3410
0.55	0	0	0	4120
0.56	0.04	0	0	4339
0.57	0.08	0.19735	0.0371716	4496
0.58	0.23	0.239971	0.0653182	4585
0.59	0.59	0.282581	0.0813085	4677
0.6	0.82	0.357299	0.0900681	4896
0.6	0.86	0.361674	0.0854803	4847
0.61	0.99	0.446144	0.0576692	5052
0.62	1	0.500115	0.0560986	5244
0.63	1	0.544357	0.0311982	5411
0.65	1	0.605057	0.0118675	5674
0.7	1	0.684828	0.00520587	6314
0.75	1	0.744045	0.00378412	7033
0.8	1	0.797654	0.00347703	7858
0.85	1	0.849127	0.00287165	8855
0.9	1	0.89983	0.00232293	9719
0.95	1	0.949895	0.00159334	10321
