# p	Percolation_Prob	Avg_Cluster_Size	Std_dev	Time_ms
0	0	0	0	27
0.05	0	0	0	43
0.1	0	0	0	56
0.15	0	0	0	69
0.2	0	0	0	84
0.25	0	0	0	99
0.3	0	0	0	114
0.35	0	0	0	131
0.4	0	0	0	152
0.45	0	0	0	178
0.5	0.03	0	0	208
0.55	0.25	0.262695	0.0713016	242
0.56	0.34	0.273112	0.073446	252
0.57	0.54	0.320584	0.077481	259
0.58	0.54	0.33536	0.0884372	271
0.59	0.7	0.367949	0.0950777	276
0.6	0.65	0.412204	0.0955569	289
0.6	0.8	0.389852	0.106225	286
0.61	0.91	0.405244	0.0903001	294
0.62	0.89	0.438043	0.102253	300
0.63	0.97	0.46519	0.10505	312
0.65	0.98	0.551457	0.0845875	339
0.7	1	0.661991	0.0483755	381
0.75	1	0.734543	0.0205948	433
0.8	1	0.79542	0.014134	475
0.85	1	0.848755	0.0121673	532
0.9	1	0.898968	0.00896008	549
0.95	1	0.949046	0.00699869	553
