# p	Percolation_Prob	Avg_Cluster_Size	Std_dev	Time_ms
0	0	0	0	92
0.05	0	0	0	153
0.1	0	0	0	218
0.15	0	0	0	268
0.2	0	0	0	342
0.25	0	0	0	392
0.3	0	0	0	445
0.35	0	0	0	513
0.4	0	0	0	608
0.45	0	0	0	742
0.5	0	0	0	818
0.55	0.1	0.17606	0.0411382	948
0.56	0.14	0.213753	0.050672	1015
0.57	0.29	0.266357	0.0624582	1012
0.58	0.46	0.299982	0.0752872	1055
0.59	0.67	0.297888	0.0772451	1093
0.6	0.75	0.375829	0.0882437	1171
0.6	0.79	0.367929	0.0862771	1131
0.61	0.9	0.406459	0.0941784	1192
0.62	0.96	0.460391	0.0801212	1225
0.63	0.99	0.509145	0.067899	1263
0.65	1	0.585612	0.036966	1311
0.7	1	0.680381	0.0128168	1510
0.75	1	0.743589	0.00757416	1745
0.8	1	0.797437	0.00747752	1868
0.85	1	0.849238	0.00588004	2097
0.9	1	0.900592	0.00453123	2335
0.95	1	0.950236	0.00280511	2348
